name,voice,description,personality,birthday,favorite,weak_point,sex,image_summaries
ムラクシャ,"おやおや、これはいけないねぇ…
ぜ～んぶ、消してあげようねぇ…",世界のすべてを箱に収め、隠すべく生まれた、隠蔽の化身たる存在。ムラクシャは黒く美しい箱の体を持った思念体のような存在であり、認知したものすべてを箱の中に入れて隠すことを己の使命とし、生きがいに感じており、それ以外のことには一切興味がない。箱の中は無限の空間に繋がっており、ムラクシャは世界を箱の中に収納し終えると、他の世界の存在を察知して、別の世界のもとへと移動を行う。,落ち着いた性格で達観している,,隠すこと、隠れること,隠した物を見つけようとする者,, ムラクシャは、紫色の箱のような姿をしたキャラクターです。箱には、赤い紐と、目のような模様が描かれています。箱の上には、赤い紐で結ばれた、もう一つの箱が乗っています。その箱には、”封印”と書かれた札が貼られています。ムラクシャの周りには、紫色の雲が渦巻いています。
アビス,"まるで底なしの海のよう…
まだ旅は始まったばかり、
しっかりしなくちゃ…",深淵の魔王をその身に封じる少女、アビス。深淵の力を抑えるために聖殿に半ば幽閉される形で暮らしていたが、あるとき深淵の眷属が聖殿を襲撃したことによって、聖なる封印の力が破壊されてしまった。衛兵の少年に救い出されて辛くも脱出したアビスだったが、聖殿の封印の力を失った今、このままでは体から深淵があふれ出し、世界を飲み込む事態になってしまう。そこでアビスは深淵を抑え込むために各地にある霊廟を巡礼し、各所に安置されている聖なる音叉を鳴らして自身の杖にその力を移して宿す計画を思い立つ。こうしてアビスは、封印の旋律を集める旅へと出るのだった。,内気で世間知らず,7/11,音叉の音色,人付き合い、他人に心を開くこと,女," アビスは、銀色の長髪に紫色の目をした少女です。
頭には、紫色の花飾りを付けています。
彼女は、紫色のローブを身に着けており、ローブには金色の縁取りがされています。
また、ローブの下には、白いシャツを着ています。
彼女は、右手にはロウソクの入ったランタン、左手には杖を持っています。
杖には、包帯が巻かれており、先端には水晶のようなものがあります。
彼女は、遺跡のような場所で、水の上に立っています。
アビスのイラストは、彼女が魔法使いであることを示唆しています。
彼女は、神秘的な雰囲気をまとっており、プレイヤーの興味を引くキャラクターです。"
アジタート,"いいねぇ、タギッてきたぜぇ…
おたのしみはこっからよ♪",もともとは神に仕える御使いだったが、神が作った世界は上品にまとまりすぎていて窮屈で退屈だと考え、自分が理想とする激情的な世界を求めて神から造反したアジタート。考えるよりもまず行動するタイプで、神の御使いたちの中で随一の武闘派であるアジタートは、自分に反抗する相手がいれば力でねじ伏せようとする短絡的な思考の持ち主でもある。,気性が荒く怒りっぽくて喧嘩っ早い,,行動すること、喧嘩,考えること、待つこと,男, アジタートは、紫色の髪と赤い目をした若い男性です。彼は黒い革のジャケットとズボンを着て、左の耳に赤いイヤリングをしています。彼はまた、右腕に赤いタトゥーを入れており、首には金属製のチョーカーをつけています。彼は片膝をついて、右手を地面についています。その手には赤い刀を持っており、刀には炎のようなオーラをまとっています。彼はまた、左手を頭の上に上げ、指を鳴らしています。彼の背後には、赤い炎の輪が描かれています。
ジャック・ザ・リッパー,"うひゃ～、あっちもこっちも
ネガ、ネガ、ネガ、
刈り取り甲斐がありそうじゃん♪",貧困が風土病のように蔓延し、デモや犯罪が多発する霧の都。人々の心は“ネガ”と呼ばれる闇に支配され、街中に陰鬱で重苦しい空気が充満していた。そんな人々を救う「感情の管理者」という役割を神から与えられた、精霊のような存在である少女、ジャック・ザ・リッパーは、神から与えられたハサミを使って人々の心からネガの花を剪定して心のバランスを整えている。あるとき、ジャック自身の心がネガに蝕まれてしまった際に、思いつきで神から譲り受けたハサミで自らを刺してみたところ、ネガの花が切り離されて常にハッピーな精神状態と化した。この経験からジャックは「霧の都の住人たちをみんなスッキリハッピーにして、ハッピーな人しかいないハッピーキングダムにしよう！」と思い立ち、今は勝手気ままに人々の心からネガを切り離しまくっている。,常に元気で明るい、独善的な面も,不詳,切りまくること、楽しいこと,辛いこと、悲しいこと,女," この画像は、モンスターストライクというゲームのキャラクター、ジャック・ザ・リッパーです。

彼女は金髪で、髪の一部はピンク色に染められています。髪型はツインテールで、大きなリボンをつけています。目は青色で、まつ毛が長く、アイシャドウはピンク色をしています。彼女は黒い帽子をかぶっていて、その帽子の縁には赤いバラの模様が入っています。首には赤いチョーカーをつけていて、胸にはハート型のペンダントをつけています。

彼女は黒いジャケットを着ていて、そのジャケットには金色のボタンがついています。スカートは赤と黒のチェック柄で、裾にはフリルがついています。ニーハイソックスは黒色で、太ももには赤いガーターベルトをつけています。彼女は黒いブーツを履いていて、そのブーツには金色のバックルがついています。

彼女は片手に短剣を持ち、もう片方の手には懐中時計を持っています。懐中時計の蓋には、彼女のイニシャルである「JTR」の文字が刻印されています。彼女は口を開けて笑っていて、その口からは鋭い牙が覗いています。

彼女はロンドンを舞台にしたストーリーに登場するキャラクターで、そのストーリーの中では、彼女は連続殺人犯として描かれています。彼女は殺人を犯す際に、懐中時計を使って被害者を催眠状態にしてから、短剣で殺害するという手口を使っています。

彼女は非常に残忍な性格で、殺人を犯すことに何の躊躇もありません。また、彼女は非常に頭が良く、警察の捜査を逃れることに成功しています。"
ドラン・フルッツ,"女神に選ばれし伝説の戦士、
ドラン・フルッツ、参ります！",強靭な肉体と優れた魔力を持つ竜人の少女。いわゆる中二病的な側面があり、自分が強い理由を「前世が“女神に選ばれし伝説の戦士”だったから」だと思いこんでいる。マゴスチーネに出会った際に彼女の可愛らしさに衝撃を受け、「この子こそ女神の生まれ変わりだ」と考え、付きまとうようになった。敵との戦いの際は、家系に代々伝わる杖で自身にみなぎる竜人の魔力を増強させ、獰猛な無数のドラゴンの姿に変えて相手を襲撃する。マゴスチーネに良いように使われていることには気づかずに、彼女を守ることを誇らしく思っているドラン・フルッツなのだった。,単純で思い込みが激しい,10/20,女神の生まれ変わりであるマゴスチーネ女王陛下、かっこいいポーズの研究,強烈で邪悪なるドリアンディのニオイ,女," ドラン・フルッツは、ピンクの髪と緑の目をした少女です。
彼女は黄色いドレスを着て、大きな赤い帽子を被っています。
彼女はまた、右手に大きなハンマーを持っています。
ハンマーにはトゲトゲがついていて、とても重そうです。
ドラン・フルッツは、とても強くてたくましい女の子です。
彼女はいつも笑顔で、とても楽しそうです。
彼女は、友達と遊ぶことが大好きで、いつも冒険をしています。
ドラン・フルッツは、とても人気のあるキャラクターです。
彼女は、ゲームの中で最強のキャラクターの一人です。
彼女は、多くのプレイヤーに愛されています。"
ドリアンディ,"やあ、そこの麗しの君…
僕と素敵なひと時を
過ごそうじゃないか♡",常に独特な匂いの香水をプンプンさせているセレブな男性。趣味は女性を口説くことで、マゴスチーネから帝国建国の誘いを受けた際に「美女だらけの国の王になれる」と勝手に解釈し、マゴスチーネに力を貸した。資金力があるため幹部の座を与えられており、軍団の仲間集めという名目でナンパ行為を繰り返している。,身勝手なナルシスト、他人の話をあまり聞かない,10/25,自分、美女、愛用の香水,地味で質素な生活、クサいと言われること,男," ドリアンディは、紫色の髪と緑色の目で、日に焼けた肌をしています。彼は緑の葉っぱのような腰蓑を身に着けており、上半身は裸です。彼は左腕に金のブレスレット、首には緑の宝石のネックレスをつけています。また彼はビーチサンダルを履いています。

彼は、緑色の葉っぱで作られた椅子に座っています。テーブルの上には、パイナップル型のグラスに入った飲み物と、本物のパイナップルが置いてあります。彼の足元には、ヤドカリがいます。

彼は、リラックスした表情で、こちらを見ています。彼は、とてもハンサムで、魅力的なキャラクターです。"
ギスイッカ,"「今日は泳ぎの練習よ～」
「オイラ、得意♪」
「オレも」
「ボク…苦手…」",体にスイカのような模様が入ったイカの親子。海中でひっそり暮らしていたが、マゴスチーネに強引に軍団に入れられてしまい、仕方なく従っている。基本的には争いを好まない穏やかな性質だが、子どもたちに危害を加える者に対しては一転して攻撃的になる習性を持つ。,基本的には穏やかだが敵に対しては容赦なく攻撃的になる,,海中遊泳,甘く見られること,," ギスイッカは、頭からスイカをかぶったタコのような姿をしたモンスターです。
スイカの皮の部分は赤色で、種の部分は黒色をしています。
胴体は青色で、手足は赤色と白色のしま模様をしています。
目は黄色で、口は大きく開いています。
体は丸みを帯びていて、足は短く、ぷにぷにした感触がありそうです。
頭に乗せたスイカの重みで、少し猫背気味に立っています。"
マゴスチーネ,"喜びなさい、あたしがこの島の
女王様になってあげる♡",プロテアたちが住む島をのっとり、帝国を築くという野望を抱く少女。小さな田舎の島出身で、幼い頃から女王のような暮らしに憧れを抱いていたため、相応に繁栄しているプロテアたちの島に目をつけた。わがままで自己中心的な性格であり、のっとり計画も帝国の建国もまだ完遂されていないにも関わらず、自らを「女王」と名乗っている。,ワガママで自己中心的,10/17,マンゴスチン、女王様と呼ばれること,地味なもの、無視されること,女," マゴスチーネは、赤い目で、赤い髪をツインテールに結んだ少女です。
黒い帽子をかぶり、首には赤いリボンを巻いています。
黒いドレスを着て、赤いコルセットを身に着けています。
ドレスには金色の装飾が施されており、スカート部分は赤と黒のチェック柄になっています。
足には黒いニーハイソックスを履き、赤いハイヒールを履いています。
右手には杖を持ち、左手には爆弾を持っています。"
ブーゲンビリア,"これは制服！からかわないでよね！
(デイゴってばいつも直球なんだから…)",運動神経の良さを生かし、南の島でライフセーバーとして働く花の妖精の少女。基本的には真面目で優しい性格なのだが、自分の感情を素直に表現するのが苦手。デイゴとは幼なじみであり、小さい頃は兄のように慕っていたが、最近はなんだか気恥ずかしく感じてしまい、ついついツンケンした態度をとってしまうのだとか。,真面目で優しいが素直に感情を表すことが苦手,6/14,サーフィン、海、デイゴ,素直になること,女," ブーゲンビリアは、ピンクの髪をポニーテールにした少女です。
赤い帽子をかぶり、紫色のビキニを着ています。
腰には緑色の葉っぱのついたベルトを巻いており、足にはビーチサンダルを履いています。
左手に紫色のサーフボードを持ち、右手は腰のあたりでピースサインをしています。
彼女の周りには、ヤシの木やカニ、波などの夏のビーチを思わせるイラストが描かれています。"
プロテア,"「そうですね、では…」
「え～キナロが思いますにその案件の問題点は…」
「もう、私が話してるのに～…」",島を統治する一族の娘である花の妖精の少女。父である先代の長が若くして亡くなったため、プロテアは幼少の頃に島の長となり、先代の長に仕えていた鳥のキナロが親代わりとなって彼女を支えてきた。今や若いながらも落ち着きをみせて長の仕事を立派にこなすようになったプロテアだが、キナロはまだまだ彼女のことを子どもだと思っているようで、何かと世話を焼いたりあれこれ勝手に仕切ったりしており、そんなキナロに対してプロテアは少々うんざりしているのだとか。,落ち着いていて品格があり、芯が強い性格,10/24,島のみんな、海、キナロ,過度に子ども扱いされること,女," プロテアは、緑色の髪と肌を持ち、頭にピンク色の花を飾っています。
彼女は黄色のドレスを着ており、ドレスには緑色の葉っぱの模様が入っています。
また、彼女は金の腕輪とアンクレットを身に着けています。
彼女は左手に杖を持ち、右手にはオウムが乗っています。
杖にはピンク色の花が咲いており、オウムは赤と黄色の羽を持っています。
プロテアの目は青く、まつ毛は長く、唇はピンク色をしています。
彼女は優しく微笑んでおり、穏やかな表情をしています。"
デイゴ,"アイツの好きな魚が釣れりゃぁ、
ちったぁ機嫌が直るかねぇ♪",漁師の家の生まれで、家業を継いで漁師を営む花の妖精の青年。派手な服装や鋭い顔つきから怖そうな印象を与えるが、実際は仲間想いの熱い心を持つ人物であり、島の人々から慕われている。ブーゲンビリアとは幼なじみであり、なぜかツンケンした態度をとる最近の彼女に合わせて一定の距離感を保っているが、心の中ではいつもブーゲンビリアのことを気にかけている。,面倒見がいい兄貴肌、女性に対しては素っ気ない態度を見せるがピンチのときには駆けつける優しさを持つ,5/3,漁、海、島のみんな,寒い場所,男," デイゴは、褐色の肌に、青い髪と黄色の目をした少年です。
上半身は裸で、腰には赤い布を巻いています。
左腕には青い刺青、右腕には赤い刺青が入っています。
また、首には数珠のようなものをかけています。
下半身は、緑色の腰蓑を身に着けています。
左足には赤いサンダルを履いています。
右手には槍を持ち、左手には盾を持っています。
彼は、いかにも南国出身の少年らしい容姿をしています。"
聖徳太子,"和を以て貴しと為す…
自分で言ったことは
守らないとね♪",日本を導く若き指導者である聖徳太子。普段は人当たりがよく柔和で、時に冗談を言って周囲を和ませる好人物だが、それは表向きの性格であり、実際は己に厳しい結果主義者で秘密主義者である。その真の性格は、彼を冷淡な人物のように思わせるが、すべては世界中で吹き荒れる戦乱から日本を守り、そして国に住む人々の暮らしを守るべく日本を強国にするためのことなのであった。,人当たりがよく柔和だが、実際は己に厳しい結果主義者,2/7,自国と国民たち、朝日の輝き,不和や諍い,男," 聖徳太子は、日本の皇族であり、政治家、仏教信者です。聖徳太子は、574年に生まれ、622年に亡くなりました。聖徳太子は、日本の歴史上最も重要な人物の一人とされており、日本の仏教の開祖とされています。聖徳太子は、また、日本の最初の憲法である十七条憲法の制定者としても知られています。

画像の聖徳太子は、若い男性として描かれており、紫色の髪と緑色の目をしています。聖徳太子は、赤い着物と緑色の袴を着ており、頭には冠をつけています。聖徳太子は、左手で巻物を持ち、右手で巻物を指しています。聖徳太子の表情は、穏やかで慈悲深いものとなっています。

聖徳太子は、日本の歴史上最も重要な人物の一人であり、日本の仏教の開祖とされています。聖徳太子は、また、日本の最初の憲法である十七条憲法の制定者としても知られています。"
クシャーンティ,"ああ…痛い…苦しい…
だがこれに耐えれば永劫共に…！",世界に生きるものの魂を忍耐によって己の内に閉じ込め、苦しみと共に輪廻の循環を止めることにより、生のない世界を作り出すべく生まれた、忍耐の化身たる存在。極度の孤独感を抱えており、ありとあらゆる魂と常に共にありたいと望み、魂を求めて様々な世界を渡り歩いている。体の中に取り込んだ魂たちが輪廻転生や解脱を求めて出ていってしまわないよう魂を体に固定すべく、自らの体に楔の錫杖を刺し貫いているため、クシャーンティは常に壮絶な苦痛を感じているが、魂たちと未来永劫共にいられるための美しい代償であると捉え、苦しみに耐え続けている。こうしてクシャーンティの体内に魂が固定されると、正常に魂の循環が行われなくなった世界は新しい生命が生まれずに滅んでいってしまうのだった。,辛抱強い性格で苦しみに耐えることを美徳と考える、凄まじい孤独感を抱えている,,魂たちとひとつになること,孤独,," クシャーンティは、仏教の僧侶のような姿をしたキャラクターです。

彼は、頭頂部から炎のようなものが燃え上がっており、その炎は、まるで仏像の背後にある光背のように、彼の体を包み込んでいます。

また、クシャーンティは、数珠のようなものを首にかけており、その数珠は、彼の腰まで垂れ下がっています。

彼は、左手に錫杖のようなものを持っています。錫杖は、仏教の僧侶が持つことが多い杖で、先端には、仏像の頭のようなものが飾られています。

クシャーンティは、右手を胸の前で合わせ、何かを祈っているようなポーズをとっています。

彼の目は、わずかに開いており、瞑想をしているようです。

クシャーンティは、仏教の僧侶のような姿をしたキャラクターであり、その姿は、仏教の教えを説く者としての彼の役割を反映しています。"
禁忌ノ邪鬼 阿頼耶,"私たちが鬼？…じゃぁ…
みんな捕まえなくっちゃね…",はるか昔、遠方の地に仲の良い双子の姉妹がいた。両親は仕事で留守がちであったため、姉妹は両親からもらった蛇の人形で毎日一緒に遊んでいた。そんなある日のこと、水神の怒りを鎮めるための人柱として妹に白羽の矢が立った。二人が住む地は水害が起きやすい場所であるため、特に災害が多い年は若い少女を人柱として捧げる風習があるのだった。生まれてからずっと一緒だった妹を突然失ったショックから、姉は人前で口をきくことがなくなってしまう。その数年後、甚大な水害が起きるというお告げを受け、今度は姉が人柱として捧げられることとなった。しかし、それでも口を開かず、また、悲しむ両親を前に泣くこともしない姉は、村人たちに不気味がられ、疎まれながら、静かに村を去り、山奥の滝壺の裏にある、水神の社へ繋がるという言い伝えが残る深い岩穴へと送られた。一人でも寂しくないようにと持たされた蛇の人形と共に岩穴に入った姉は、これまでずっと心を閉ざしていたが、重い岩戸が閉められて暗闇に一人になったそのとき、ようやく自分が人柱にされたという事実に気が付いて泣き叫ぶが、しかし、その声はもう誰にも届くことはなかった。やがて泣き疲れた頃、岩穴に響く子どもの声を耳にした姉が、洞窟の奥深くへと向かうと、そこには黒い霧の中で子どもたちと遊ぶ妹の姿があった。また妹と一緒に遊べると喜びの笑みを浮かべながら黒い霧の中に足を踏み入れた姉は、これまで人柱にされてきた子どもたちの深き呪いの念に沈んでいく。こうして呪いの複合体と化した姉は、妹と一緒に我が家へ帰るために村へと入り、自分たちを見殺しにした村人たちを鏖殺する。それから時が経ち、阿頼耶という名の禁忌の存在となった彼女は、禁忌の獄の深部を彷徨いながら、訪れるストライカーたちを遊び相手にするのであった。,無垢、残虐,,,,女," 禁忌ノ邪鬼 阿頼耶は、長い黒髪に赤い目をした少女です。
彼女は青い着物を着ており、着物の裾には赤い花びらが描かれています。
また、彼女は赤い帯を締めており、帯には金色の鈴が付いています。
彼女は左手に錫杖を持ち、錫杖には巻物が巻きついています。
また、彼女は右手に数珠を持っています。
彼女の足元には、水があり、水の中には魚が泳いでいます。
彼女の背景には、赤い月と鳥居があります。"
ルナ,"この二本の角みてぇな…鋏？
結構イケるぜ、メリエス
…って聞いちゃいねぇ♪",月から地球へとやってきた月の女神。突飛で破天荒な言動と、誰も読むことができない予想の斜め上をいく思考が特徴で、暗がりの生活に慣れているせいで急な明るさを苦手としており、そのため常時サングラスを装着している。様々な食べ物を食べて魔力を蓄え、月の力を増幅させるために地球を旅している自称美食家だが、悪食であり、どんなものでも食べてしまう。ちなみに月の魔力の増幅は太陽の勢力を侵す侵略行為でもあるため、ルナは太陽神から毛嫌いされている。そんなルナが持つ魔力は、存在しているだけで周囲に狂気を振りまくという厄介なもので、彼女と長く一緒にいた者は徐々に精神が汚染されてトランス状態に似た感覚に陥ってしまうが、ルナ本人はその力を楽しんでおり、自分の周囲にいる人々がトランス状態になる姿を見たいがために魔力を蓄える美食の旅をしている節がある。,陽気な享楽家、傍若無人で破天荒な自由人,,旅、食事、メリエス,急な明るさ、早起き,女," ルナは、銀色の髪をしており、髪を下ろし、左目に眼帯をしています。
また、ルナは紫色のジャケットを着ており、緑色の手袋をしています。
スカートは黒色で、ニーハイソックスを着用しています。
ルナは片膝立ちの姿勢で、片手でカニを持っています。
もう片方の手は地面についています。
ルナの隣には、黒いウサギがいます。
ウサギは舌を出しており、口の中にカニが入っています。
ルナの足元には、水たまりがあり、カニがいます。
背景には、夜空と三日月、満月、星空が広がっています。"
スケルツァンド,"努力は認めるけれど…
ごめんなさい…全然面白くないの…",もともとは神に仕える御使いだったが、神が作った世界で一度も楽しいと思ったことがなく、自分が楽しいと思える世界を求めて神から造反したスケルツァンド。生まれ落ちてからただの一度も笑ったことがなく、楽しいや可笑しいといった感情が欠落しているスケルツァンドだが、自分を笑顔にする存在を常に求めており、そのために魔法で人々を道化師の人形に変えて自分を楽しませるように命じている。,無表情で無感情、楽しい・可笑しいといった感情が欠落している,,自分を楽しませてくれる存在,退屈,女," スケルツァンドは、紫色のドレスを着た女性です。
ドレスにはトランプのマークが散りばめられています。
彼女は片目に眼帯をつけていて、もう片方の目は紫色をしています。
また、彼女は長い金色の髪をしています。
彼女は4人の道化師に囲まれています。
道化師たちは皆、紫色の服を着ていて、帽子をかぶっています。
道化師たちは皆、口を開けて笑っています。"
サマ,"歪でチグハグ、個性の坩堝…
ここは美しくありません…",世界を平らかにし、世界のすべてを平等にするべく生まれた、均一の化身たる存在。様々な世界に現れては、体にある曼荼羅状の空間にその世界を取り込んでいく習性を持つ。サマの体内に取り込まれた世界は、強制的に街も人もすべてがまったく同じ役割を持たされ、個性を失い、均一化されていく。こうして均一化された世界は、憎しみや争いもなく平和ではあるが、“絵”としてただそこにあるだけの存在となってしまう。,常に冷静で淡々としている,,平等、平均,個性、差異,, サマは、モンスターストライクというゲームに登場するキャラクターです。彼女は、大きな目で、長い髪を持つ、若い女性の姿をしています。髪の色はピンクで、目は青色をしています。彼女は、ピンク色のドレスを着ており、ドレスには白いエプロンをつけています。エプロンの上には、緑色の宝石がついています。また、彼女の頭には、大きなリボンがついています。サマは、とても可愛らしいキャラクターで、多くのプレイヤーから人気を集めています。
ポラリス,"「私のしもべなら三つ編みくらいしてくれなきゃ♪」
「しもべじゃない、俺は護衛だ…」",星々を滅ぼす大凶星「ラゴ」の周期的接近が百年以上ぶりに訪れると観測された、とある世界。最高峰の技術をもってしてもラゴの接近を阻むことはできないが、唯一、その軌道をずらし星々を守ることができる特殊な力を持つ星海の巫者の一族に生まれた少女、それがポラリスだった。しかしその一方で、ラゴこそ人類の救済者でありその接近を阻むべきではないと主張する狂信者もおり、ポラリスは常に彼らから命を狙われている。そんな彼女を守るために宇宙を股にかける秘密諜報組織「スターダスト」からエージェントたちが派遣されており、ポラリスは幼少の頃からいつも彼らに護衛されていたのだが、丁重に扱われることが日常だったためか怠惰でわがまま気味な性格に育ってしまい、いつもエージェントたちを振り回している。しかし、いざラゴが接近すればポラリスは命を賭してその軌道を逸らす役目を負っているため、エージェントたちも彼女に同情の念を抱き、可能な限りポラリスの好きなようにさせているのだった。,だらしがなく、ぐうたら。生意気で無鉄砲な面も持つ,2/2,明るくて綺麗なもの,暗い未来や悲観的な話,女," ポラリスは、モンスターストライクというゲームに登場するキャラクターです。
彼女は緑色の髪と青い目を持つ少女で、白いドレスを着ています。
また、ポラリスは頭に乗せた星型の髪飾りと、首に巻いた水色のスカーフが特徴的です。
ポラリスは、優しく思いやりのある性格で、いつも周りの人を気にかけています。
また、彼女は好奇心旺盛で、新しいことを学ぶことが大好きです。
ポラリスは、モンスターストライクのプレイヤーの間で人気のあるキャラクターです。"
ピリカ,"ヒンナ～ケラピㇼカ！
やっぱり大地の恵みはたまりません♡
",広大な北の大地で暮らす巫女の少女。神様である動物たちと対話ができ、彼らと心を通じ合わせて、友達としていつも仲良く過ごしている。その中でも特に仲がよく、いつも一緒に行動しているのがシマエナガのウバシィ。優しく純真な心の持ち主であるピリカは、神々と人々が共存できるようにいつも祈りを捧げている。,純真、優しく穏やか,7/17,北の大地と神様たち、ごはんを食べること、お米,自然破壊、争いごと,女," ピリカは、白い髪と青い目をした少女です。
彼女は、白い着物と赤い帯を身に着けています。
また、彼女は、白いブーツを履いています。
ピリカは、森の中で、おにぎりを食べています。
彼女と一緒にいるのは、白い鹿、白い狐、白い兎、青い小鳥です。"
ノービレ,"この世界は高貴な私に
ふさわしくない…
ならば、やることはひとつだろう？",もともとは神に仕える御使いだったが、神が作った世界は下品なものにあふれ美しくないと考え、自分が理想とする気品あふれる世界を作るために神から造反したノービレ。高貴で気高い性格だが、反面、傲慢で自分が美しくないと思ったものに対してはとことん冷酷になるという一面を持つ。常に優雅な振る舞いを心がけており、その所作は上品で美しいが、自分に酔っているきらいもあり、常にナルシスト的な不気味さを醸し出している。,ナルシスト、上品で気高い性格だが美しくないものに対しては冷酷,,美しい自分、美しい薔薇、美しい世界,美しくないもの、美しさを理解しない者,男, ノービレは、金色の髪と碧い瞳を持つ少年です。彼は、黒いジャケットとズボンを着て、金の王冠を身に着けています。また、左手には青いバラの花を持っています。彼は、高貴な雰囲気を持ち、優雅な佇まいをしています。
劉邦,"ふぁ～、
亭長の仕事ってめんどくさいわね～
退屈だわ～",とある田舎の村で亭長を務める少女。任務に忠実な性格ではなく、適度にさぼったり怠けたりと気分屋な一面があるが、いつも明るく笑顔が絶えない人柄と人を引き寄せる不思議な魅力を持っている。不平等や理不尽を嫌い、常日頃、皆が平等であればいいと願う劉邦は、幼い頃から一緒に育った龍の子ども・ガオルと共に、日々、村の治安維持にあたっている。,いつも明るく周囲の人々を元気にする性格、適度にさぼったり怠ける気分屋な一面も,2/28,相棒のガオル、平等、みんなの笑顔,不平等、理不尽、無駄な争いや殺生,女," 画像のキャラクターは、劉邦という名前の女性です。彼女は緑色のドレスを着て、長い金色の髪をしています。また、彼女は木の上に座っていて、緑色のドラゴンが彼女の隣にいます。ドラゴンの背中には、巻物のようなものがあります。
彼女はとても幸せそうで、目を開けてあくびをしています。"
包青天,"罪に貴賤の別は無い…罪状明白、
今宵、あなたを刑に処す…",貴族の娘として生まれた少女、包青天。生まれつき前髪に月の紋様があり、一族からは“月の子”として称えられ、可愛がられていた。ある日、同じ罪を犯しても平民と貴族で刑罰に差があることを知り、疑問を抱く。そこで包青天は、貴族の方が罪が軽いという不平等な現実を変えるべく、自ら法の番人となった。「絶対公平・絶対中立」を信条に、貴族も平民も平等に、罪人に対して罪状と刑罰を言い渡す日々を送る包青天なのだった。,常に冷静沈着、無口で無表情,2/15,月の光,不公平、不平等,女, 包青天は、黒髪で銀色の瞳を持つ美少女です。彼女は、赤い旗袍を着て、腰には扇子をつけています。彼女は、閻魔大王の娘であり、冥界の裁判官として働いています。彼女は、非常に公正な裁判官であり、彼女の判決は常に正しいと言われています。彼女は、人々から慕われており、彼女の裁判を待つ人々は、彼女の判決を信じています。
アビニベーシャ,"美味そうな世界じゃ…
それでは戴くとするわいのぉ♡",世界に執着し、世界のすべてを己のものにするべく生まれた、執着の化身たる存在。常に渇きを感じており、目に見えるものすべてを手に入れようとする性質を持つ。まぶたを持たないアビニベーシャの目に見定められた世界は、みるみる内にアビニベーシャが体に取り込むにふさわしい食物に似た形状へ変化し、食卓のようにずらりと眼前に並べられてしまう。,自己中心的で貪欲,,手に入れること、食べること,手に入らないもの、満たされないこと,, アビニベーシャは、骸骨のような姿をしたモンスターです。頭には大きな角があり、口からは牙が突き出ています。体は細長く、手足が長く、指が6本あります。腰には布のようなものを巻いており、背中には大きな羽があります。目は赤く、隈取のような模様があります。
ネオ,"聴こえる…私を呼んでいるの？
私はネオ、あなたは誰？",ある日、星の内部から地表へと突如姿を現した巨大な光の花、「星の花」。意思を持ち、星の寿命を延ばすために生態系を整える抗体システムの役割を持つ「星の花」は、その役割に基づいて人類を有害な存在とみなし、壊獣・ノーマンを生み出した。ノーマンは、星に漂うあらゆる生命体の魂が寄り集まってできた粒子状の光「星のセラム」を放出するが、それは人体に対してのみ有毒な瘴気へと変質するため、生存圏を追われた人類は瘴気の薄い地域や移動要塞都市での生活を強いられていた。セラムの影響によって着実に滅びへと向かっていた人類は、兵器を用いて「星の花」の破壊を計画する連邦政府と、そうではない道を模索する反連邦団体イースターとに分かれて争いを続けていた。そんな中、星のセラムに耐性を持ち、星の花が発するシグナルを受信できる特異な体質を持った、ひとりの新人類の少女がいた。幼い頃に連邦政府の研究所で実験体として囚われた過去を持ち、反連邦団体イースターに保護された後、イースターの移動要塞都市で戦士として暮らす“ネオ”という名のその少女は、実は「星の花」の種子を身に宿して生まれた「星の子供」であった。しかし己が何者であるか知らないまま、時折聴こえる謎のシグナルやたまに見る奇妙な夢のことを不思議に思いながらも、ただ漫然と戦いに明け暮れるネオ。そんな彼女は、あるとき、他の要塞都市から来たという少年ニュウと出会う。この出来事をきっかけに、他人と距離を置きがちだったネオの生き方に少しずつ変化が生まれ始めるのだった。,表情や言動に抑揚がなく常識離れした感性を持つ、本質的には意志が強く気を許した人には優しい一面を見せる,1/1,流れ星,他人と親しくすること,女," ネオは、モンスターストライクというゲームに登場するキャラクターです。
彼女は銀髪で、右目にヘッドホンをつけており、黒いパーカーを着ています。
パーカーには白い星が描かれており、パーカーの下には白いスカートを身に着けています。
また、ニーハイソックスを履き、黒と黄色のスニーカーを履いています。
ネオは、機械のようなものに囲まれた場所で、空に浮かぶ立方体を眺めています。
彼女の表情は、穏やかで、どこか物憂げな印象を受けます。"
